DS_Name,T,N,p,k,Bin,Cost,SDratio,correl,cancor1,cancor2,fract1,fract2,skewness,kurtosis,Hc,Hx,MCx,EnAtr,NSRatio,Alg_Name,binaryClass
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Ac2,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Alloc80,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,BackProp,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Bayes,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,BayesTree,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,C4_5,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,CART,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Cal5,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Cascade,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Castle,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Cn2,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Default,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Dipol92,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Discrim,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,ITrule,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,IndCART,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,KNN,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Kohonen,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,LVQ,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,LogDisc,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,NewId,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,QuaDisc,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,RBF,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Smart,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Ac2,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Alloc80,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,BackProp,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Bayes,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,BayesTree,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,C4_5,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,CART,N
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Cal5,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Cascade,N
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Castle,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Cn2,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Default,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Dipol92,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Discrim,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,ITrule,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,IndCART,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,KNN,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Kohonen,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,LVQ,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,LogDisc,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,NewId,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,QuaDisc,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,RBF,P
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Smart,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Ac2,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Alloc80,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,BackProp,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Bayes,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,BayesTree,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,C4_5,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,CART,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Cal5,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Cascade,N
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Castle,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Cn2,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Default,N
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Dipol92,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Discrim,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,ITrule,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,IndCART,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,KNN,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Kohonen,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,LVQ,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,LogDisc,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,NewId,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,QuaDisc,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,RBF,P
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Smart,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Ac2,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Alloc80,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,BackProp,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Bayes,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,BayesTree,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,C4_5,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,CART,N
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Cal5,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Cascade,N
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Castle,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Cn2,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Default,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Dipol92,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Discrim,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,ITrule,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,IndCART,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,KNN,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Kohonen,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,LVQ,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,LogDisc,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,NewId,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,QuaDisc,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,RBF,P
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Smart,P
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,Ac2,P
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,Alloc80,P
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,BackProp,N
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,Bayes,N
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,BayesTree,P
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,C4_5,P
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,CART,N
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,Cal5,P
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,Cascade,N
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,Castle,P
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,Cn2,P
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,Default,N
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,Dipol92,P
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,Discrim,P
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,ITrule,N
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,IndCART,P
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,KNN,P
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,Kohonen,P
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,LVQ,P
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,LogDisc,P
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,NewId,P
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,QuaDisc,P
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,RBF,P
Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,Smart,P
Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,,1,,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,Ac2,P
Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,,1,,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,Alloc80,P
Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,,1,,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,BackProp,P
Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,,1,,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,Bayes,P
Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,,1,,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,BayesTree,P
Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,,1,,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,C4_5,P
Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,,1,,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,CART,P
Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,,1,,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,Cal5,P
Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,,1,,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,Cascade,P
Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,,1,,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,Castle,P
Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,,1,,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,Cn2,P
Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,,1,,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,Default,P
Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,,1,,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,Dipol92,P
Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,,1,,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,Discrim,P
Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,,1,,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,ITrule,P
Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,,1,,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,IndCART,P
Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,,1,,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,KNN,P
