"col_1","col_2","col_3","col_4","col_5","binaryClass"
1,508,235,3944,325,P
2,564,231,4578,323,P
3,322,270,4011,328,P
4,846,261,5233,305,P
5,871,300,4780,303,P
6,774,317,5889,307,P
7,856,387,5663,301,P
8,889,285,5759,310,P
9,715,300,4894,300,P
10,753,221,5012,324,P
11,649,264,4908,329,P
12,830,308,5753,320,P
13,738,379,5439,337,P
14,659,342,4634,328,P
15,664,378,4921,330,P
16,572,232,4869,318,P
17,701,231,4672,309,P
18,443,246,4782,333,P
19,446,230,4296,330,P
20,615,268,4827,318,P
21,661,337,5057,304,P
22,772,344,5540,328,N
23,766,330,5331,323,N
24,631,261,4715,317,N
25,390,214,3828,310,N
26,450,245,4120,321,N
27,476,233,3817,342,N
28,603,250,4243,339,N
29,805,243,4647,287,N
30,523,216,3967,325,N
31,588,212,3946,315,N
32,584,208,3724,332,N
33,445,215,3448,358,N
34,500,221,3680,320,N
35,661,244,3825,355,N
36,680,234,4189,306,N
37,797,269,4336,335,N
38,534,302,4418,335,N
39,541,268,4323,344,N
40,605,323,4813,331,N
41,785,304,5046,324,N
42,698,317,3764,366,N
43,796,332,4504,340,N
44,804,315,4005,378,N
45,809,291,5560,330,N
46,726,312,4989,313,N
47,671,316,4697,305,N
48,909,332,5438,307,N
49,484,546,5613,386,N
50,831,311,5309,333,N