"vote","tax_rate","budget","budget_change","tax_rate_change","binaryClass"
1,47.18,47532280,4,6.3,P
1,21.64,11637417,3.3,4.1,P
1,24.05,59856099,3.4,2.5,P
1,20.93,26926416,9.4,7.5,P
1,19.32,11686005,11.1,5.2,P
1,26.2,38641360,4.5,-0.23,P
1,20.09,13882048,4.7,1.7,P
0,42.16,40298680,5.9,4.9,P
1,29.11,35400375,3,3.5,N
0,45.96,30314067,3.8,3.7,P
1,21.56,15418131,1.9,3.8,P
1,15.55,11997930,6.6,8.1,P
1,23.77,17130165,6,8.1,P
1,27.64,10502721,4.8,7.5,P
0,28.12,33616668,8.9,7.7,N
0,36.74,53999209,3.6,5.3,P
1,40.48,48119900,0,1.9,P
1,21.83,68400604,5.5,4,P
1,20.05,15919780,8.3,10.4,P
1,20.86,9499412,4.4,4.5,P
1,19.99,12635368,2.9,3.5,P
1,11.74,2862323,4.3,4.4,N
1,17.71,5670720,4.9,3.6,N
1,6.35,76466312,1.9,4.6,P
1,41.79,7649906,4.2,4.5,P
1,28.25,13926965,5,6.2,P
0,36.18,13162830,4.6,5.9,N
1,80.7,23056816,4.8,6.6,P
0,99.56,23640880,7.4,8.6,P
0,87.97,85184456,9.9,29.3,P
1,71.57,20281917,-0.2,-0.2,P
1,87.53,25719696,4,3.8,P
1,5.07,866746,18.9,1.6,N
1,7.71,36263806,3.5,4.9,P
1,15.49,4606127,5.9,17.5,N
1,13.4,21729978,6.6,4.7,N
1,28.07,8785345,4.8,3.8,N
0,30.23,7543792,9.6,7,N