"livestocktype","country","binaryClass"
Cattle,Albania,P
Cattle,Austria,P
Cattle,Belgium,P
Cattle,Bulgaria,P
Cattle,Czechoslovakia,P
Cattle,Denmark,P
Cattle,West_Germany,P
Cattle,Finland,P
Cattle,France,N
Cattle,East_Germany,P
Cattle,Greece,P
Cattle,Hungary,P
Cattle,Ireland,P
Cattle,Italy,P
Cattle,Netherlands,P
Cattle,Norway,P
Cattle,Poland,P
Cattle,Portugal,P
Cattle,Romania,P
Cattle,Spain,P
Cattle,Sweden,P
Cattle,Switzerland,P
Cattle,Turkey,P
Cattle,United_Kingdom,P
Cattle,Russia_et_al.,N
Cattle,Yugoslavia,P
Pigs,Albania,P
Pigs,Austria,P
Pigs,Belgium,P
Pigs,Bulgaria,P
Pigs,Czechoslovakia,P
Pigs,Denmark,P
Pigs,West_Germany,N
Pigs,Finland,P
Pigs,France,P
Pigs,East_Germany,P
Pigs,Greece,P
Pigs,Hungary,P
Pigs,Ireland,P
Pigs,Italy,P
Pigs,Netherlands,P
Pigs,Norway,P
Pigs,Poland,N
Pigs,Portugal,P
Pigs,Romania,P
Pigs,Spain,P
Pigs,Sweden,P
Pigs,Switzerland,P
Pigs,Turkey,P
Pigs,United_Kingdom,P
Pigs,Russia_et_al.,N
Pigs,Yugoslavia,P
Poultry,Albania,P
Poultry,Austria,P
Poultry,Belgium,N
Poultry,Bulgaria,N
Poultry,Czechoslovakia,N
Poultry,Denmark,P
Poultry,West_Germany,N
Poultry,Finland,P
Poultry,France,N
Poultry,East_Germany,N
Poultry,Greece,N
Poultry,Hungary,N
Poultry,Ireland,P
Poultry,Italy,N
Poultry,Netherlands,N
Poultry,Norway,P
Poultry,Poland,N
Poultry,Portugal,P
Poultry,Romania,N
Poultry,Spain,N
Poultry,Sweden,P
Poultry,Switzerland,P
Poultry,Turkey,N
Poultry,United_Kingdom,N
Poultry,Russia_et_al.,N
Poultry,Yugoslavia,N
Horses,Albania,P
Horses,Austria,P
Horses,Belgium,P
Horses,Bulgaria,P
Horses,Czechoslovakia,P
Horses,Denmark,P
Horses,West_Germany,P
Horses,Finland,P
Horses,France,P
Horses,East_Germany,P
Horses,Greece,P
Horses,Hungary,P
Horses,Ireland,P
Horses,Italy,P
Horses,Netherlands,P
Horses,Norway,P
Horses,Poland,P
Horses,Portugal,P
Horses,Romania,P
Horses,Spain,P
Horses,Sweden,P
Horses,Switzerland,P
Horses,Turkey,P
Horses,United_Kingdom,P
Horses,Russia_et_al.,P
Horses,Yugoslavia,P
Sheep,Albania,P
Sheep,Austria,P
Sheep,Belgium,P
Sheep,Bulgaria,P
Sheep,Czechoslovakia,P
Sheep,Denmark,P
Sheep,West_Germany,P
Sheep,Finland,P
Sheep,France,P
Sheep,East_Germany,P
Sheep,Greece,P
Sheep,Hungary,P
Sheep,Ireland,P
Sheep,Italy,P
Sheep,Netherlands,P
Sheep,Norway,P
Sheep,Poland,P
Sheep,Portugal,P
Sheep,Romania,P
Sheep,Spain,P
Sheep,Sweden,P
Sheep,Switzerland,P
Sheep,Turkey,N
Sheep,United_Kingdom,N
Sheep,Russia_et_al.,N
Sheep,Yugoslavia,P